objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
Priola-01,Come la not di vinars sant,Maria Moro; Regina Chiapolino,15 November 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),46.5078,12.9878,Collezione privata di Valter Colle,NC-01-01,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,"""C:\Users\alessandra\Documents\Noliani- Anima della Carnia\Noliani_Canti popolari\Carniche\Carnia 1\01 Come la not di vinars sant_1-2.aif""",,,,
Priola-02,Fait in su su che bançute,Maria Moro; Regina Chiapolino,15 November 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),46.5078,12.9878,Collezione privata di Valter Colle,NC-01-02,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,"""C:\Users\alessandra\Documents\Noliani- Anima della Carnia\Noliani_Canti popolari\Carniche\Carnia 1\02 Fait in su su che bançute_1-2.aif""",,,,
Priola-03,Cui spietaiso preolanis,Maria Moro; Regina Chiapolino,15 November 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),46.5078,12.9878,Collezione privata di Valter Colle,NC-01-03,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,"""C:\Users\alessandra\Documents\Noliani- Anima della Carnia\Noliani_Canti popolari\Carniche\Carnia 1\03 Lis fantatis preolanis1 1_1-2.aif""",,,,
Priola-04,Lis fantatis preolanis,Maria Moro; Regina Chiapolino,15 November 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),46.5078,12.9878,Collezione privata di Valter Colle,NC-01-04,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,"""C:\Users\alessandra\Documents\Noliani- Anima della Carnia\Noliani_Canti popolari\Carniche\Carnia 1\04 Lis fantatis preolanis2_1-2.aif""",,,,
Priola-05,O vou cir pietous di stelis,Maria Moro; Regina Chiapolino,15 November 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),46.5078,12.9878,Collezione privata di Valter Colle,NC-01-05,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,"""C:\Users\alessandra\Documents\Noliani- Anima della Carnia\Noliani_Canti popolari\Carniche\Carnia 1\05 O vou cir pietous di stelis_1-2.aif""",,,,
Priola-06,Tuntrine tuntraine,Maria Moro; Regina Chiapolino,15 November 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),46.5078,12.9878,Collezione privata di Valter Colle,NC-01-06,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,"""C:\Users\alessandra\Documents\Noliani- Anima della Carnia\Noliani_Canti popolari\Carniche\Carnia 1\06 Tuntrine tuntraine_1-2.aif""",,,,
Priola-07,Oi ninâ,Maria Moro,15 November 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),46.5078,12.9878,Collezione privata di Valter Colle,NC-01-07,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,"""C:\Users\alessandra\Documents\Noliani- Anima della Carnia\Noliani_Canti popolari\Carniche\Carnia 1\07 Nine nane_1-2.aif""",,,,
Priola-08,Faseimi quatri fritulis,Maria Moro,15 November 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),46.5078,12.9878,Collezione privata di Valter Colle,NC-01-08,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,"""C:\Users\alessandra\Documents\Noliani- Anima della Carnia\Noliani_Canti popolari\Carniche\Carnia 1\08 Faseimi quatri fritulis_1-2.aif""",,,,
Priola-09,O concetta immacolata,Maria Moro; Regina Chiapolino,15 November 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),46.5078,12.9878,Collezione privata di Valter Colle,NC-01-09,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,"""C:\Users\alessandra\Documents\Noliani- Anima della Carnia\Noliani_Canti popolari\Carniche\Carnia 1\09 O concetta immacolata_1-2.aif""",,,,
Priola-10,Puer natus in Bethlem,Maria Moro; Regina Chiapolino,15 November 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),46.5078,12.9878,Collezione privata di Valter Colle,NC-01-10,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,"""C:\Users\alessandra\Documents\Noliani- Anima della Carnia\Noliani_Canti popolari\Carniche\Carnia 1\10 Puer natus in Bethlem_1-2.aif""",,,,
